player,city,state,region,rank,song_chart,chartsteps,steps,score,perfects,greats,goods,bads,misses,max.combo,grade,last_triple,noteskin,order,player_side,velocity,gender,fd,perfects_ratio,greats_ratio,goods_ratio,bads_ratio,misses_ratio,max_combo_ratio,titles,lon,lat,location
f33tz,Chino Hills,CA,socal,1,the_festival_of_ghost2_s20,755,755,3868800,719,35,1,0,0,754,Sb,great,old,8,p1,640,m,y,0.952317881,0.046357616,0.001324503,0,0,0.998675497,"The Festival Of Ghost2, GHOST2",-117.7325848,33.9898188,Chino Hills CA
chaddly,New Orleans,LA,nola,2,the_festival_of_ghost2_s20,755,755,3684700,705,45,3,2,0,492,Sb,perfect,fiesta,7,p2,640,m,n,0.933774834,0.059602649,0.00397351,0.002649007,0,0.651655629,"The Festival Of Ghost2, GHOST2",-90.0715323,29.9510658,New Orleans LA
jboy,Raleigh,NC,nc,3,the_festival_of_ghost2_s20,755,754,3651600,669,80,5,0,1,737,A,good,sheep,4,p1,573,m,n,0.886092715,0.105960265,0.006622517,0,0.001324503,0.97615894,"The Festival Of Ghost2, GHOST2",-78.6381787,35.7795897,Raleigh NC
zelllooo,Dallas,TX,texas,4,the_festival_of_ghost2_s20,755,754,3599800,707,45,2,0,1,520,A,good,easy,8,p2,620,m,n,0.936423841,0.059602649,0.002649007,0,0.001324503,0.688741722,"The Festival Of Ghost2, GHOST2",-96.7969879,32.7766642,Dallas TX
_imsorry,San Francisco,CA,norcal,5,the_festival_of_ghost2_s20,755,751,3513900,624,115,11,1,4,724,A,perfect,nx,6,p2,560,m,n,0.826490066,0.152317881,0.014569536,0.001324503,0.005298013,0.958940397,"The Festival Of Ghost2, GHOST2",-122.4194155,37.7749295,San Francisco CA
bbcplat,Las Vegas,NV,lv,6,the_festival_of_ghost2_s20,755,745,3209800,655,81,5,4,10,490,A,great,prime,4,p2,650,m,n,0.867549669,0.107284768,0.006622517,0.005298013,0.013245033,0.649006623,"The Festival Of Ghost2, GHOST2",-115.1398296,36.1699412,Las Vegas NV
mrclickman,San Diego,CA,sd,7,the_festival_of_ghost2_s20,755,748,3188400,625,110,9,4,7,485,A,bad,old,7,p1,697,m,n,0.82781457,0.145695364,0.01192053,0.005298013,0.009271523,0.642384106,"The Festival Of Ghost2, GHOST2",-117.1610838,32.715738,San Diego CA
kooper,Fullerton,CA,socal,8,the_festival_of_ghost2_s20,755,743,3182800,585,135,17,6,12,628,A,good,prime,5,p1,700,m,n,0.774834437,0.178807947,0.022516556,0.00794702,0.01589404,0.831788079,"The Festival Of Ghost2, GHOST2",-117.9242123,33.8703645,Fullerton CA
funktion,Sacramento,CA,norcal,9,the_festival_of_ghost2_s20,755,749,3058600,637,98,11,3,6,246,A,good,wind,6,p1,621,m,n,0.843708609,0.129801325,0.014569536,0.00397351,0.00794702,0.325827815,"The Festival Of Ghost2, GHOST2",-121.4943996,38.5815719,Sacramento CA
rhyme,Reno,NV,nv,10,the_festival_of_ghost2_s20,755,745,2942100,665,72,5,3,10,186,A,miss,prime,2,p1,650,m,n,0.880794702,0.095364238,0.006622517,0.00397351,0.013245033,0.246357616,"The Festival Of Ghost2, GHOST2",-119.8138027,39.5296329,Reno NV
driffy,San Bruno,CA,norcal,11,the_festival_of_ghost2_s20,755,744,2880200,606,129,6,3,11,230,A,bad,horse,3,p1,600,m,y,0.802649007,0.170860927,0.00794702,0.00397351,0.014569536,0.304635762,"The Festival Of Ghost2, GHOST2",-122.4110835,37.6304904,San Bruno CA
itws,Los Angeles,CA,socal,12,the_festival_of_ghost2_s20,755,727,2842200,598,86,28,15,28,353,A,perfect,horse,5,p2,666,m,n,0.79205298,0.113907285,0.037086093,0.01986755,0.037086093,0.467549669,"The Festival Of Ghost2, GHOST2",-118.2436849,34.0522342,Los Angeles CA
x_law_x,Las Vegas,NV,lv,13,the_festival_of_ghost2_s20,755,715,2298000,569,105,26,15,40,185,B,miss,nx absolute,3,p2,670,m,n,0.753642384,0.139072848,0.034437086,0.01986755,0.052980132,0.245033113,"The Festival Of Ghost2, GHOST2",-115.1398296,36.1699412,Las Vegas NV
dnarwhal,San Jose,CA,norcal,14,the_festival_of_ghost2_s20,755,722,2120200,572,105,27,18,33,159,A,bad,easy,1,p1,640,m,n,0.757615894,0.139072848,0.035761589,0.02384106,0.043708609,0.210596026,"The Festival Of Ghost2, GHOST2",-121.8863286,37.3382082,San Jose CA
telperion,South SF,CA,norcal,15,the_festival_of_ghost2_s20,755,717,1889400,599,76,25,17,38,104,B,miss,nx,1,p2,540,m,n,0.793377483,0.100662252,0.033112583,0.022516556,0.050331126,0.137748344,"The Festival Of Ghost2, GHOST2",-122.4077498,37.654656,South SF CA
c300,Sacramento,CA,norcal,16,the_festival_of_ghost2_s20,755,661,1659800,510,116,29,6,94,120,D,good,prime,2,p2,600,m,n,0.675496689,0.153642384,0.038410596,0.00794702,0.124503311,0.158940397,"The Festival Of Ghost2, GHOST2",-121.4943996,38.5815719,Sacramento CA
